Local time,Open,High,Low,Close,Volume
04.09.2003 01:30:00.000 GMT+0430,373.193,374.395,368.956,372.499,10520912.0513
05.09.2003 01:30:00.000 GMT+0430,372.701,378.298,369.536,376.692,8729371.9425
06.09.2003 01:30:00.000 GMT+0430,376.692,376.692,376.692,376.692,0
07.09.2003 01:30:00.000 GMT+0430,376.692,376.692,376.692,376.692,0
08.09.2003 01:30:00.000 GMT+0430,376.577,376.640,372.510,374.434,9455748.0944
09.09.2003 01:30:00.000 GMT+0430,374.534,382.947,374.218,382.173,11444116.9724
10.09.2003 01:30:00.000 GMT+0430,381.569,382.271,377.361,379.814,10696135.0291
11.09.2003 01:30:00.000 GMT+0430,379.614,380.716,374.488,379.553,10381334.856099999
12.09.2003 01:30:00.000 GMT+0430,379.388,381.055,374.098,374.798,8540155.9845
13.09.2003 01:30:00.000 GMT+0430,374.798,374.798,374.798,374.798,0
14.09.2003 01:30:00.000 GMT+0430,374.798,374.798,374.798,374.798,0
15.09.2003 01:30:00.000 GMT+0430,374.844,376.408,372.008,373.795,9495320.9814
16.09.2003 01:30:00.000 GMT+0430,373.308,375.772,370.785,372.623,10216952.9945
17.09.2003 01:30:00.000 GMT+0430,372.459,376.557,371.374,375.778,9522496.959199999
18.09.2003 01:30:00.000 GMT+0430,376.166,379.402,374.341,375.676,8697167.020200001
19.09.2003 01:30:00.000 GMT+0430,375.929,382.870,374.126,381.137,7762338.967800001
20.09.2003 01:30:00.000 GMT+0430,381.137,381.137,381.137,381.137,0
21.09.2003 01:30:00.000 GMT+0430,381.137,381.137,381.137,381.137,0
22.09.2003 00:30:00.000 GMT+0330,380.380,387.373,379.839,386.398,10862968.9559
23.09.2003 00:30:00.000 GMT+0330,386.015,387.298,382.349,383.847,10331256.993000003
24.09.2003 00:30:00.000 GMT+0330,384.298,388.398,382.546,388.398,11492848.0314
25.09.2003 00:30:00.000 GMT+0330,388.395,393.117,383.057,384.551,12341365.032000003
26.09.2003 00:30:00.000 GMT+0330,384.898,385.850,378.393,380.398,9918124.057299998
27.09.2003 00:30:00.000 GMT+0330,380.398,380.398,380.398,380.398,0
28.09.2003 00:30:00.000 GMT+0330,380.398,380.398,380.398,380.398,0
29.09.2003 00:30:00.000 GMT+0330,380.456,384.471,378.042,381.601,10245809.8946
30.09.2003 00:30:00.000 GMT+0330,381.678,387.916,380.586,384.693,11906986.012799999
01.10.2003 00:30:00.000 GMT+0330,384.895,385.578,381.772,384.294,9933074.973499998
02.10.2003 00:30:00.000 GMT+0330,383.888,386.239,380.269,382.397,11328557.0143
03.10.2003 00:30:00.000 GMT+0330,382.385,385.529,366.867,369.095,9943580.932799999
04.10.2003 00:30:00.000 GMT+0330,369.095,369.095,369.095,369.095,0
05.10.2003 00:30:00.000 GMT+0330,369.095,369.095,369.095,369.095,0
06.10.2003 00:30:00.000 GMT+0330,369.095,372.976,368.501,372.274,10198034.9737
07.10.2003 00:30:00.000 GMT+0330,372.376,376.749,371.662,375.731,10047912.1292
08.10.2003 00:30:00.000 GMT+0330,375.862,377.274,373.678,374.480,8370686.0002
09.10.2003 00:30:00.000 GMT+0330,374.661,376.450,367.210,368.501,9149111.0827
10.10.2003 00:30:00.000 GMT+0330,368.242,373.360,368.028,372.595,8482668.0496
11.10.2003 00:30:00.000 GMT+0330,372.595,372.595,372.595,372.595,0
12.10.2003 00:30:00.000 GMT+0330,372.595,372.595,372.595,372.595,0
13.10.2003 00:30:00.000 GMT+0330,373.077,374.727,368.760,374.284,9813158.024200002
14.10.2003 00:30:00.000 GMT+0330,373.960,376.282,371.217,374.811,10630263.0675
